subject,module,chapter,material_title,share_url,share_code,note
行测,常识判断,,背诵手册,https://pan.quark.cn/s/c4f387500a4b,,来源：资料资源/常识判断.csv 分享时间：2026-03-16 10:50
行测,常识判断,,课件,https://pan.quark.cn/s/549816a44d88,,来源：资料资源/常识判断.csv 分享时间：2026-03-16 10:50
行测,常识判断,,文件勘误汇总,https://pan.quark.cn/s/fec50d2025e3,,来源：资料资源/常识判断.csv 分享时间：2026-03-16 10:50
行测,判断推理,,判断下册图推定义类比刷题答案,https://pan.quark.cn/s/9f54f9c844fb,,来源：资料资源/判断推理-1773629212720.csv 分享时间：2026-03-16 10:44
行测,判断推理,,随堂笔记,https://pan.quark.cn/s/35ee4017210b,,来源：资料资源/判断推理-1773629212720.csv 分享时间：2026-03-16 10:44
申论,申论,,答案,https://pan.quark.cn/s/438b9f7500bc,,来源：资料资源/申论.csv 分享时间：2026-03-16 10:47
申论,申论,,课件,https://pan.quark.cn/s/d69c71734355,,来源：资料资源/申论.csv 分享时间：2026-03-16 10:47
申论,申论,,时评分享,https://pan.quark.cn/s/fe1c3c46cc60,,来源：资料资源/申论.csv 分享时间：2026-03-16 10:47
申论,申论,,随堂笔记,https://pan.quark.cn/s/7b74867554a9,,来源：资料资源/申论.csv 分享时间：2026-03-16 10:47
申论,申论,,早读材料,https://pan.quark.cn/s/36f0fb996775,,来源：资料资源/申论.csv 分享时间：2026-03-16 10:47
行测,数量关系,,随堂笔记,https://pan.quark.cn/s/2e5b604c82a7,,来源：资料资源/数量关系.csv
行测,言语理解,,随堂笔记,https://pan.quark.cn/s/69f9bd76f8aa,,来源：资料资源/言语理解.csv 分享时间：2026-03-16 10:54
行测,言语理解,,刷题课件,https://pan.quark.cn/s/91caf3c107c2,,来源：资料资源/言语理解.csv 分享时间：2026-03-16 10:54
行测,言语理解,,选词刷题答案,https://pan.quark.cn/s/c6758ff0173f,,来源：资料资源/言语理解.csv 分享时间：2026-03-16 10:54
行测,言语理解,,言语800词,https://pan.quark.cn/s/51cdb9bbba31,,来源：资料资源/言语理解.csv 分享时间：2026-03-16 10:54
政治理论,政治理论,,补充材料+背诵手册,https://pan.quark.cn/s/c098cafdd41e,,来源：资料资源/政治理论.csv 分享时间：2026-03-16 10:48
政治理论,政治理论,,讲义答案,https://pan.quark.cn/s/46a9a2051558,,来源：资料资源/政治理论.csv 分享时间：2026-03-16 10:48
政治理论,政治理论,,课件,https://pan.quark.cn/s/2e5f3efae2b9,,来源：资料资源/政治理论.csv 分享时间：2026-03-16 10:48
行测,资料分析,,随堂笔记,https://pan.quark.cn/s/43c3c80ffa73,,来源：资料资源/资料分析.csv 分享时间：2026-03-16 10:53
行测,资料分析,,资料刷题讲义,https://pan.quark.cn/s/c0d18e82479a,,来源：资料资源/资料分析.csv 分享时间：2026-03-16 10:53
行测,资料分析,,赠送资料,https://pan.quark.cn/s/3f0cd3e0d493,,来源：资料资源/资料分析.csv 分享时间：2026-03-16 10:53
行测,资料分析速算,,讲义,https://pan.quark.cn/s/7a2b22eeae6a,,来源：资料资源/资料分析速算.csv
