科目,模块,章节,课时标题,时长,状态,夸克链接,提取码,备注
行测,言语理解,片段阅读1,片段阅读1,210,已完成,https://pan.quark.cn/s/00dfbbe215ab,,
行测,言语理解,片段阅读2,片段阅读2,210,已完成,https://pan.quark.cn/s/df5e94c71c05,,
行测,言语理解,片段阅读3,片段阅读3,210,未开始,https://pan.quark.cn/s/ed714f4cae1f,,
行测,言语理解,片段阅读4,片段阅读4,210,未开始,https://pan.quark.cn/s/c15d91781565,,
行测,资料分析,资料分析01讲,资料分析01讲,,未开始,https://pan.quark.cn/s/3b51161cbfe1,,
行测,资料分析,资料分析02讲,资料分析02讲,,未开始,https://pan.quark.cn/s/fd3d6bc3a09c,,
行测,资料分析,资料分析中午加课,资料分析中午加课,,未开始,https://pan.quark.cn/s/c14a489ab7bc,,
行测,资料分析,资料分析03讲,资料分析03讲,,未开始,https://pan.quark.cn/s/6223c33b0062,,
行测,资料分析,资料分析04讲,资料分析04讲,,未开始,https://pan.quark.cn/s/9e573fc25998,,
行测,资料分析,资料分析05讲,资料分析05讲,,未开始,https://pan.quark.cn/s/25e6f55e2d07,,
行测,资料分析,资料分析06讲,资料分析06讲,,未开始,https://pan.quark.cn/s/480da8f8bb5e,,
行测,资料分析,资料分析07讲,资料分析07讲,,未开始,https://pan.quark.cn/s/f46a3c2e51ad,,
行测,资料分析,资料分析08讲,资料分析08讲,,未开始,https://pan.quark.cn/s/686e03f1fb10,,
行测,资料分析,资料分析09讲,资料分析09讲,,未开始,https://pan.quark.cn/s/3c412e7514b1,,
行测,资料分析,资料分析总结,资料分析总结,,未开始,https://pan.quark.cn/s/9157588593f4,,
行测,资料分析,资料刷题01讲,资料刷题01讲,,未开始,https://pan.quark.cn/s/0ca417205605,,
行测,资料分析,资料刷题02讲,资料刷题02讲,,未开始,https://pan.quark.cn/s/955bc640b3cd,,
行测,资料分析,资料刷题加课,资料刷题加课,,未开始,https://pan.quark.cn/s/fe2ea8b4ef37,,
行测,资料分析,资料分析10讲,常见思维陷阱,,未开始,https://pan.quark.cn/s/6c724ca6fe90,,
行测,资料分析,资料刷题03讲,资料刷题03讲,,未开始,https://pan.quark.cn/s/b1659c9ab5d3,,
行测,资料分析,资料刷题04讲,资料刷题04讲,,未开始,https://pan.quark.cn/s/5266926651a2,,
行测,资料分析,资料刷题05讲,资料刷题05讲,,未开始,https://pan.quark.cn/s/155566390674,,
行测,资料分析,资料刷题06讲,资料刷题06讲,,未开始,https://pan.quark.cn/s/0577aed1d1b1,,
行测,资料分析,资料总结（加课）,资料总结（加课）,,未开始,https://pan.quark.cn/s/0ca881922336,,
行测,常识判断,常识判断1,常识判断1,,未开始,https://pan.quark.cn/s/3be4268b5d84,,
行测,常识判断,常识判断2,常识判断2,,未开始,https://pan.quark.cn/s/c541fef06d75,,
行测,常识判断,常识判断3,常识判断3,,未开始,https://pan.quark.cn/s/1f15f357348f,,
行测,常识判断,常识判断4,常识判断4,,未开始,https://pan.quark.cn/s/5c372280c28c,,
行测,常识判断,常识判断5,常识判断5,,未开始,https://pan.quark.cn/s/9e1142c4f32f,,
行测,常识判断,常识判断6,常识判断6,,未开始,https://pan.quark.cn/s/a269a8165204,,
行测,常识判断,常识判断7,常识判断7,,未开始,https://pan.quark.cn/s/f18cd77c5341,,
行测,常识判断,常识判断8,常识判断8,,未开始,https://pan.quark.cn/s/a14f95f1f1b8,,
行测,常识判断,常识判断9,常识判断9,,未开始,https://pan.quark.cn/s/75d3c6927042,,
行测,常识判断,常识判断10,常识判断10,,未开始,https://pan.quark.cn/s/30138eab5fb4,,
