创建分享状态,分享文件上一级目录名称,分享名,分享地址,提取码,分享时间
成功,../政治理论,20250803 政治理论(时政)加课1.mp4,"我用夸克网盘分享了「20250803 政治理论(时政)加课1.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/e618cfdc45ea",,2026-03-16 10:48
成功,../政治理论,20250810 政治理论(时政)加课2.mp4,"我用夸克网盘分享了「20250810 政治理论(时政)加课2.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/eb5d4214c5f9",,2026-03-16 10:48
成功,../政治理论,20250815 政治理论1.mp4,"我用夸克网盘分享了「20250815 政治理论1.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/0b1b08f4f75c",,2026-03-16 10:48
成功,../政治理论,20250816 政治理论2.mp4,"我用夸克网盘分享了「20250816 政治理论2.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/7d8628d83772",,2026-03-16 10:48
成功,../政治理论,20250817 政治理论(时政)加课3.mp4,"我用夸克网盘分享了「20250817 政治理论(时政)加课3.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/3d3ed376e36f",,2026-03-16 10:48
成功,../政治理论,20250821 政治理论3.mp4,"我用夸克网盘分享了「20250821 政治理论3.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/6e3891b650ef",,2026-03-16 10:48
成功,../政治理论,20250822 政治理论4.mp4,"我用夸克网盘分享了「20250822 政治理论4.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/c57beed8794c",,2026-03-16 10:48
成功,../政治理论,20250823 政治理论5.mp4,"我用夸克网盘分享了「20250823 政治理论5.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/dfe734d6b2ae",,2026-03-16 10:48
成功,../政治理论,20250829 政治理论6.mp4,"我用夸克网盘分享了「20250829 政治理论6.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/e7c82d7c1e15",,2026-03-16 10:48
成功,../政治理论,20250830 政治理论7.mp4,"我用夸克网盘分享了「20250830 政治理论7.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/ed6459a89c23",,2026-03-16 10:48
成功,../政治理论,20250905 政治理论8.mp4,"我用夸克网盘分享了「20250905 政治理论8.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/3ba2640fce35",,2026-03-16 10:48
成功,../政治理论,20250906 政治理论9.mp4,"我用夸克网盘分享了「20250906 政治理论9.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/3374cabe793b",,2026-03-16 10:48
成功,../政治理论,20250907 政治理论(时政)加课4.mp4,"我用夸克网盘分享了「20250907 政治理论(时政)加课4.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/e031b47f61ac",,2026-03-16 10:48
成功,../政治理论,20250912 政治理论10.mp4,"我用夸克网盘分享了「20250912 政治理论10.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/abd4fbe4cab5",,2026-03-16 10:48
成功,../政治理论,20250913 政治理论11.mp4,"我用夸克网盘分享了「20250913 政治理论11.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/796ab183f68d",,2026-03-16 10:48
成功,../政治理论,20250914 政治理论(时政)加课5.mp4,"我用夸克网盘分享了「20250914 政治理论(时政)加课5.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/d3c6225ac6a2",,2026-03-16 10:48
成功,../政治理论,20250921 政治理论(时政)加课6.mp4,"我用夸克网盘分享了「20250921 政治理论(时政)加课6.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/611904b525d5",,2026-03-16 10:48
