创建分享状态,分享文件上一级目录名称,分享名,分享地址,提取码,分享时间
成功,../言语理解,20250811 言语-片段阅读1.mp4,"我用夸克网盘分享了「20250811 言语-片段阅读1.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/4f3dcd8fe269",,2026-03-16 10:53
成功,../言语理解,20250812 言语-片段阅读2.mp4,"我用夸克网盘分享了「20250812 言语-片段阅读2.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/6c24d7346137",,2026-03-16 10:53
成功,../言语理解,20250813 言语-片段阅读3.mp4,"我用夸克网盘分享了「20250813 言语-片段阅读3.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/b1548cdf2473",,2026-03-16 10:53
成功,../言语理解,20250814 言语-片段阅读4.mp4,"我用夸克网盘分享了「20250814 言语-片段阅读4.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/a3ab68290358",,2026-03-16 10:53
成功,../言语理解,20250818 言语-片段阅读5.mp4,"我用夸克网盘分享了「20250818 言语-片段阅读5.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/c75f4e4fea0e",,2026-03-16 10:53
成功,../言语理解,20250819 言语-片段阅读6.mp4,"我用夸克网盘分享了「20250819 言语-片段阅读6.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/ff72855de0c2",,2026-03-16 10:53
成功,../言语理解,20250820 言语-片段阅读7.mp4,"我用夸克网盘分享了「20250820 言语-片段阅读7.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/f40a557e20db",,2026-03-16 10:53
成功,../言语理解,20250823 言语-片段阅读8.mp4,"我用夸克网盘分享了「20250823 言语-片段阅读8.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/41473fd3d68c",,2026-03-16 10:53
成功,../言语理解,20250823 言语片段阅读总结课.mp4,"我用夸克网盘分享了「20250823 言语片段阅读总结课.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/ac48d8294cfd",,2026-03-16 10:53
成功,../言语理解,20250825 片段刷题1.mp4,"我用夸克网盘分享了「20250825 片段刷题1.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/c6d0255ade0d",,2026-03-16 10:53
成功,../言语理解,20250825 言语-逻辑填空1.mp4,"我用夸克网盘分享了「20250825 言语-逻辑填空1.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/1dc9802696e1",,2026-03-16 10:53
成功,../言语理解,20250826 片段刷题2.mp4,"我用夸克网盘分享了「20250826 片段刷题2.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/a9021ab51a2c",,2026-03-16 10:53
成功,../言语理解,20250826 言语-逻辑填空2.mp4,"我用夸克网盘分享了「20250826 言语-逻辑填空2.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/bc090da3002f",,2026-03-16 10:53
成功,../言语理解,20250827 片段刷题3.mp4,"我用夸克网盘分享了「20250827 片段刷题3.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/0257bcb77134",,2026-03-16 10:53
成功,../言语理解,20250828 片段刷题4.mp4,"我用夸克网盘分享了「20250828 片段刷题4.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/6b8e92aa1990",,2026-03-16 10:53
